Listing Title,Category,City,County,State,Country,Short Description,Full Description,Address,Phone,Email,Website,Price,Schedule / Hours,Senior Discount,Dementia-Friendly?,Caregiver-Friendly?,Wheelchair Accessible?,Transportation Available?,Tags,Slug,Source URL,Last Updated
Cooper Center for Active Living,Senior Center,Newton,Middlesex County,Massachusetts,USA,"Newton’s community center for older adults offering programs, services, and opportunities to stay active and connected.","Cooper Center for Active Living and Newton Older Adult Services support older adults through programs, services, fitness, arts, culture, recreation, community engagement, and helpful resources.","345 Walnut Street, Newtonville, MA 02460",617-796-1660,Not listed,https://www.newtonma.gov/government/seniors,Not listed,"Older Adult Services: Monday–Friday, 9 a.m.–4 p.m. Cooper Center: Monday–Friday, 7 a.m.–8 p.m.; Saturday, 9 a.m.–4 p.m.; Sunday, 12 p.m.–4 p.m.",Not listed,Not listed,Not listed,Not listed,Yes,"Newton, senior center, older adult services, active living, community programs, fitness, arts, recreation",cooper-center-for-active-living-newton-massachusetts,https://www.newtonma.gov/government/seniors,2026-04-28
Veronica B. Smith Senior Center,Senior Center,Boston,Suffolk County,Massachusetts,USA,"Brighton senior center offering activities, programs, newsletters, and support for older adults.","The Veronica B. Smith Senior Center is part of Boston’s Age Strong Commission and provides older adults with programs, community activities, newsletters, local support, and connection opportunities in the Brighton neighborhood.","20 Chestnut Hill Avenue, Boston, MA 02135",617-635-6120,vbsseniorcenter@boston.gov,https://www.boston.gov/departments/age-strong-commission/veronica-b-smith-senior-center,Not listed,"Monday–Friday, 8:30 a.m.–4 p.m.; closed weekends and holidays",Not listed,Not listed,Not listed,Not listed,Not listed,"Boston, Brighton, senior center, older adults, Age Strong, activities, community programs",veronica-b-smith-senior-center-boston-massachusetts,https://www.boston.gov/departments/age-strong-commission/veronica-b-smith-senior-center,2026-04-28
Cambridge Senior Center,Senior Center,Cambridge,Middlesex County,Massachusetts,USA,"Cambridge senior center offering programs, events, social groups, support groups, meals, technology help, and activities for residents age 60 and older.","The Cambridge Senior Center, part of the Cambridge Council on Aging, hosts programming, events, social and support groups, activities, lunch meals, recreation equipment, and technology help for Cambridge residents age 60 and older.","806 Massachusetts Ave, Cambridge, MA 02139",617-349-6220,aliciaj@cambridgema.gov,https://www.cambridgema.gov/Departments/humanserviceprograms/COA/seniorcenter806massave,Not listed,"Monday, 8:30 a.m.–8 p.m.; Tuesday–Thursday, 8:30 a.m.–5 p.m.; Friday, 8:30 a.m.–12 p.m.",Not listed,Not listed,Not listed,Not listed,Not listed,"Cambridge, senior center, Council on Aging, older adults, lunch meals, social groups, technology help, recreation",cambridge-senior-center-cambridge-massachusetts,https://www.cambridgema.gov/Departments/humanserviceprograms/COA/seniorcenter806massave,2026-04-28
Brookline Senior Center,Senior Center,Brookline,Norfolk County,Massachusetts,USA,"Brookline senior center offering programs, resources, newsletters, transportation information, volunteering, social services, and fitness opportunities for older adults.","The Brookline Senior Center and Council on Aging provide older adults with community programs, resources, newsletters, food and menu information, social services, volunteer opportunities, transportation resources, and fitness center information.","93 Winchester St, Brookline, MA 02446",617-730-2777,Not listed,https://www.brooklinema.gov/245/Council-on-Aging,Not listed,"Monday–Friday, 8:30 a.m.–5 p.m.",Not listed,Not listed,Not listed,Not listed,Not listed,"Brookline, senior center, Council on Aging, older adults, transportation, social services, fitness, volunteering",brookline-senior-center-brookline-massachusetts,https://www.brooklinema.gov/245/Council-on-Aging,2026-04-28
Worcester Senior Center,Senior Center,Worcester,Worcester County,Massachusetts,USA,"Worcester senior center offering activities, advocacy, computer instruction, crafts, cultural arts, exercise classes, wellness programs, fitness, library access, and transportation assistance.","The Worcester Senior Center is a welcoming community space for seniors, families, caregivers, elder service providers, and the larger community. It offers programs and opportunities that support healthy aging, social connection, wellness, learning, recreation, and transportation assistance.","128 Providence Street, Worcester, MA 01604",508-799-1232,Not listed,https://www.worcesterma.gov/senior-center,Not listed,"Monday–Friday, 9 a.m.–4:30 p.m.",Not listed,Not listed,Not listed,Not listed,Yes,"Worcester, senior center, older adults, healthy aging, computer classes, crafts, fitness, wellness, transportation assistance",worcester-senior-center-worcester-massachusetts,https://www.worcesterma.gov/senior-center,2026-04-28
Callahan Center / Senior Services,Senior Center,Framingham,Middlesex County,Massachusetts,USA,"Framingham senior center offering education, games, social services, volunteer opportunities, fitness, wellness, transportation information, and community programs.","The Callahan Center / Senior Services in Framingham supports older adults with programs and services including education, games and groups, social services and outreach, volunteer opportunities, fitness and wellness, transportation resources, online registration, and community connection.","535 Union Avenue, Framingham, MA 01702",508-532-5980,Not listed,https://www.framinghamma.gov/360/Callahan-CenterSenior-Services,Not listed,"Mid April–November: Monday, Wednesday, Thursday, 8:30 a.m.–4:30 p.m.; Tuesday, 8:30 a.m.–7:30 p.m.; Friday, 8:30 a.m.–1:30 p.m. November–Mid April: Monday–Friday, 8:30 a.m.–4:30 p.m.",Not listed,Not listed,Not listed,Not listed,Yes,"Framingham, senior center, Callahan Center, older adults, education, games, wellness, volunteer, transportation",callahan-center-senior-services-framingham-massachusetts,https://www.framinghamma.gov/360/Callahan-CenterSenior-Services,2026-04-28
Kennedy Senior Center / Quincy Elder Services,Senior Center,Quincy,Norfolk County,Massachusetts,USA,"Quincy senior center offering activities, services, programs, events, support, and transportation resources for older adults.","Quincy Elder Services at the Kennedy Senior Center supports older adults with community activities, programs, services, annual events, health and support resources, transportation information, and opportunities to stay active and connected.","440 East Squantum Street, Quincy, MA 02171",617-376-1506,Not listed,https://www.quincyma.gov/departments/elder_services/index.php,Not listed,"Monday–Friday, 8:30 a.m.–4:30 p.m.",Not listed,Not listed,Not listed,Not listed,Yes,"Quincy, Kennedy Senior Center, Elder Services, older adults, senior activities, transportation, community programs",kennedy-senior-center-quincy-elder-services-quincy-massachusetts,https://www.quincyma.gov/departments/elder_services/index.php,2026-04-28
Somerville Council on Aging / Holland Street Center,Senior Center,Somerville,Middlesex County,Massachusetts,USA,"Somerville senior center offering activities, social programs, wellness classes, bingo, arts and crafts, caregiver support, games, and community connection.","The Somerville Council on Aging supports older adults through senior center programs, wellness activities, social groups, caregiver support, bingo, arts and crafts, walking groups, yoga, games, newsletters, and community events at locations including the Holland Street Center and Ralph & Jenny Center.","167 Holland St, Somerville, MA 02144",617-625-6600 ext. 2300,Not listed,https://www.somervillema.gov/departments/health-and-human-services/council-aging,Not listed,"Monday–Wednesday, 8:30 a.m.–4:30 p.m.; Thursday, 8:30 a.m.–7:30 p.m.; Friday, 8:30 a.m.–12:30 p.m.; call for current program times.",Not listed,Not listed,Yes,Not listed,Not listed,"Somerville, Council on Aging, senior center, bingo, yoga, caregiver support, arts and crafts, games, walking group",somerville-council-on-aging-holland-street-center-somerville-massachusetts,https://www.somervillema.gov/departments/health-and-human-services/council-aging,2026-04-28
Lowell Senior Center,Senior Center,Lowell,Middlesex County,Massachusetts,USA,"Lowell senior center offering activities, services, lunch/menu information, senior resources, outreach, volunteering, and community programs for older adults.","The Lowell Senior Center supports older adults with activities, services, senior resources, lunch menu information, newsletters, outreach support, volunteer opportunities, and community connection through the City of Lowell Council on Aging.","276 Broadway Street, Lowell, MA 01852",978-674-4131,Not listed,https://lowellma.gov/373/Senior-Center,Not listed,"Monday–Friday, 7 a.m.–3 p.m.; Saturday–Sunday, 7 a.m.–Noon for takeout meals only; closed holidays.",Not listed,Not listed,Not listed,Not listed,Not listed,"Lowell, senior center, Council on Aging, older adults, lunch menu, outreach, volunteer, senior resources",lowell-senior-center-lowell-massachusetts,https://lowellma.gov/373/Senior-Center,2026-04-28
Raymond A. Jordan Senior Center / Springfield Elder Affairs,Senior Center,Springfield,Hampden County,Massachusetts,USA,"Springfield senior center offering programs, services, support, outreach, social connection, and community resources for older adults.","The Raymond A. Jordan Senior Center and Springfield Department of Elder Affairs support older adults with senior center programs, services, outreach resources, community connection, wellness opportunities, and helpful information for aging residents and families.","1476 Roosevelt Avenue, Springfield, MA 01109",413-787-6785,Not listed,https://www.springfield-ma.gov/hhs/seniorcenters/raymond-a-jordan-center,Not listed,"Office hours: Monday–Friday, 8 a.m.–4 p.m.; Program hours: Monday–Friday, 7 a.m.–3 p.m.",Not listed,Not listed,Not listed,Not listed,Not listed,"Springfield, senior center, Elder Affairs, older adults, community programs, outreach, wellness, senior resources",raymond-a-jordan-senior-center-springfield-elder-affairs-springfield-massachusetts,https://www.springfield-ma.gov/hhs/seniorcenters/raymond-a-jordan-center,2026-04-28
Natick Council on Aging & Human Services,Senior Center,Natick,Middlesex County,Massachusetts,USA,"A welcoming center offering programs, activities, and services to help older adults stay active, connected, and supported.","The Natick Council on Aging & Human Services designs and delivers programs and services that improve the quality of life for older adults, families, and individuals with disabilities. Offerings include dance, exercise, support groups, games, movies, arts and crafts, wellness lectures, discussion groups, transportation, volunteer opportunities, a fitness center, and Dementia Friendly Natick.","117 East Central St., Natick, MA 01760",508-647-6540,Not listed,https://www.natickma.gov/626/Council-on-Aging-Human-Services,Not listed,Mon–Thu 8:00 a.m.–5:00 p.m.; Fri 8:00 a.m.–2:30 p.m.,Not listed,Yes,Not listed,Not listed,Yes,"Senior center, Natick, fitness, dance, support groups, arts and crafts, wellness, transportation, dementia-friendly",natick-council-on-aging-human-services-natick-massachusetts,https://www.natickma.gov/626/Council-on-Aging-Human-Services,2026-04-28
Waltham Council on Aging / William F. Stanley Senior Center,Senior Center,Waltham,Middlesex County,Massachusetts,USA,"Waltham senior center offering programs, support, resources, and community connection for older adults.","The Waltham Council on Aging and William F. Stanley Senior Center support older adults with senior center programs, community resources, activities, information, and opportunities to stay active, social, and connected.","488 Main Street, Waltham, MA 02452",781-314-3499,Not listed,https://www.city.waltham.ma.us/council-on-aging,Not listed,Not listed,Not listed,Not listed,Not listed,Not listed,Not listed,"Waltham, senior center, Council on Aging, older adults, community programs, senior resources",waltham-council-on-aging-william-f-stanley-senior-center-waltham-massachusetts,https://www.city.waltham.ma.us/council-on-aging,2026-04-28
Medford Senior Center / Council on Aging,Senior Center,Medford,Middlesex County,Massachusetts,USA,"Medford senior center offering elder services, programs, information, referrals, social support, and community connection for older adults.","The Medford Senior Center and Council on Aging support older adults with elder services, programs, information and referrals, social services, health and fitness resources, volunteer opportunities, and community connection.","101 Riverside Avenue, Medford, MA 02155",781-396-6010,Not listed,https://www.medfordma.org/departments/council-on-aging,Not listed,"Monday–Friday, 9:00 a.m.–4:00 p.m.",Not listed,Not listed,Not listed,Not listed,Not listed,"Medford, senior center, Council on Aging, elder services, older adults, information and referrals, health and fitness, volunteer opportunities",medford-senior-center-council-on-aging-medford-massachusetts,https://www.medfordma.org/departments/council-on-aging,2026-04-28
Arlington Council on Aging / Senior Center,Senior Center,Arlington,Middlesex County,Massachusetts,USA,"Arlington senior center offering programs, social services, transportation information, senior newsletters, and community support for older adults.","The Arlington Council on Aging supports older adults with senior center services, programs and activities, social services, transportation information, newsletters, community resources, and opportunities to stay active, informed, and connected.","27 Maple St., Senior Center, Arlington, MA 02476",781-316-3400,kshah@town.arlington.ma.us,https://www.arlingtonma.gov/departments/health-human-services/council-on-aging,Not listed,"Monday–Wednesday, 8 a.m.–4 p.m.; Thursday, 8 a.m.–7 p.m.; Friday, 8 a.m.–Noon.",Not listed,Not listed,Not listed,Not listed,Not listed,"Arlington, senior center, Council on Aging, older adults, social services, transportation, senior newsletter, community programs",arlington-council-on-aging-senior-center-arlington-massachusetts,https://www.arlingtonma.gov/departments/health-human-services/council-on-aging,2026-04-28
Malden Senior Center,Senior Center,Malden,Middlesex County,Massachusetts,USA,"Malden senior center offering programs, services, activities, newsletters, and support for older adults.","The Malden Senior Center supports older adults with senior center programs, activities, services, newsletters, community connection, and opportunities to stay active, social, and supported.","7 Washington Street, Malden, MA 02148",781-397-7144,Not listed,https://www.cityofmalden.org/250/Senior-Center,Not listed,"Monday–Friday, 8 a.m.–3 p.m.",Not listed,Not listed,Not listed,Not listed,Not listed,"Malden, senior center, Council on Aging, older adults, activities, community programs, newsletter",malden-senior-center-malden-massachusetts,https://www.cityofmalden.org/250/Senior-Center,2026-04-28
Lexington Senior Services / Lexington Community Center,Senior Center,Lexington,Middlesex County,Massachusetts,USA,"Lexington senior services offering programs, activities, caregiver support, wellness resources, and community connection for older adults.","Lexington Senior Services at the Lexington Community Center supports older adults with programs, activities, social connection, caregiver support, wellness resources, games, seated stretching, bingo, meals information, and helpful aging-related services.","39 Marrett Road, Lexington, MA 02421",781-698-4840,Not listed,https://www.lexingtonma.gov/354/Senior-Services,Not listed,"Office hours: Monday–Friday, 8:30 a.m.–4:30 p.m.; Community Center hours: Monday–Friday, 8 a.m.–9 p.m.; Saturday, 9 a.m.–5 p.m.",Not listed,Not listed,Yes,Not listed,Not listed,"Lexington, senior services, senior center, Community Center, older adults, caregiver support, bingo, games, seated stretching, wellness",lexington-senior-services-lexington-community-center-lexington-massachusetts,https://www.lexingtonma.gov/354/Senior-Services,2026-04-28
Needham Council on Aging / Center at the Heights,Senior Center,Needham,Norfolk County,Massachusetts,USA,"Needham senior center offering aging services, programs, resources, wellness support, and community connection for older adults.","The Needham Council on Aging and Center at the Heights support older adults with aging services, information, community resources, educational and recreational programs, wellness support, independence-focused services, and opportunities to stay active, healthy, and connected.","300 Hillside Avenue, Needham, MA 02494",781-455-7555,Not listed,https://www.needhamma.gov/519/Council-on-Aging,Not listed,"Monday & Wednesday, 8:30 a.m.–5 p.m.; Tuesday & Thursday, 8:30 a.m.–8 p.m.; Friday, 8:30 a.m.–4 p.m.",Not listed,Not listed,Not listed,Not listed,Not listed,"Needham, senior center, Council on Aging, Center at the Heights, older adults, wellness, aging services, recreational programs",needham-council-on-aging-center-at-the-heights-needham-massachusetts,https://www.needhamma.gov/519/Council-on-Aging,2026-04-28
Watertown Council on Aging / Senior Center,Senior Center,Watertown,Middlesex County,Massachusetts,USA,"Watertown senior center offering social, health, educational, recreational, advocacy, and support programs for older adults.","The Watertown Council on Aging / Senior Center helps older adults age well in the community through social, health, educational, recreational, advocacy, and support programs. Activities include movies, art classes, book club, chair yoga, fitness classes, games, knitting, line dancing, lunch and learn programs, Tai Chi, trips, yoga, and senior resources.","31 Marshall St., Watertown, MA 02472",617-972-6490,Not listed,https://www.watertown-ma.gov/284/Senior-Services,Not listed,"Monday, 8:30 a.m.–5 p.m.; Tuesday, 8:30 a.m.–7 p.m.; Wednesday–Thursday, 8:30 a.m.–5 p.m.; Friday, 8:30 a.m.–12:30 p.m.",Not listed,Not listed,Not listed,Yes,Not listed,"Watertown, senior center, Council on Aging, chair yoga, fitness, games, line dancing, Tai Chi, trips, senior resources",watertown-council-on-aging-senior-center-watertown-massachusetts,https://www.watertown-ma.gov/284/Senior-Services,2026-04-28
